epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5111,1.3293,3.10439,1.74407,0.0033,1,0.58042,0.35762,0.86091,3.43124,1.26676,4.287e-05,4.287e-05,4.287e-05
2,26.5822,1.01297,2.93486,1.44961,0.00331,1,0.55278,0.45591,0.49189,3.36029,1.03794,9.80494e-05,9.80494e-05,9.80494e-05
3,40.826,0.94405,2.67993,1.3879,0.00334,1,0.42792,0.36514,0.5716,3.34562,1.03062,0.000150965,0.000150965,0.000150965
4,54.1726,0.942,2.31764,1.37695,0.00328,1,0.59069,0.51782,0.43098,3.21747,0.95042,0.000201618,0.000201618,0.000201618
5,67.9941,1.03778,2.2151,1.44107,0.00326,1,0.51911,0.43739,0.5163,3.18875,1.04192,0.000250006,0.000250006,0.000250006
6,81.2646,0.92885,2.01595,1.28935,0.00328,1,0.53578,0.43495,0.51746,3.19081,1.0555,0.000296132,0.000296132,0.000296132
7,94.6867,0.99545,1.90537,1.36961,0.00331,1,0.50828,0.38279,0.80407,3.24349,1.29225,0.000339993,0.000339993,0.000339993
8,111.821,0.9354,1.81706,1.32699,0.00335,1,0.56383,0.46592,0.61037,3.08611,1.14879,0.000381592,0.000381592,0.000381592
9,127.496,0.89904,1.73646,1.31979,0.00338,1,0.61911,0.54336,0.65927,2.84619,1.15959,0.000420926,0.000420926,0.000420926
10,143.66,0.83291,1.53133,1.25315,0.00339,1,0.67411,0.46622,1.23409,2.87168,1.70629,0.000457997,0.000457997,0.000457997
11,159.864,0.81762,1.38008,1.21059,0.0034,1,0.59069,0.43043,1.1152,2.94964,1.47959,0.000492805,0.000492805,0.000492805
12,174.513,0.85826,1.43864,1.24931,0.57067,0.66667,0.62125,0.53004,0.74342,2.80161,1.16974,0.000525349,0.000525349,0.000525349
13,187.922,0.87328,1.40441,1.23099,0.80924,0.58698,0.82917,0.64657,0.84822,2.28744,1.21975,0.000555629,0.000555629,0.000555629
14,201.593,0.81119,1.38985,1.21219,0.97695,0.64346,0.82917,0.66315,0.82571,1.9944,1.17458,0.000583646,0.000583646,0.000583646
15,214.705,0.84116,1.30356,1.18514,0.80217,0.66667,0.82917,0.72954,0.61862,1.93582,1.10603,0.0006094,0.0006094,0.0006094
16,227.634,0.83223,1.21834,1.2348,0.41135,0.73918,0.60778,0.48554,0.7057,2.54823,1.11411,0.00063289,0.00063289,0.00063289
17,247.872,0.95964,1.15394,1.2282,0.52993,0.75762,0.60806,0.42298,0.90025,2.93835,1.27919,0.000654116,0.000654116,0.000654116
18,263.147,0.82777,1.47942,1.21273,0.47552,0.66667,0.7125,0.61667,1.07009,2.81792,1.47724,0.000673079,0.000673079,0.000673079
19,278.087,0.85816,1.2638,1.25128,0.36574,0.83333,0.77833,0.62949,0.85246,2.42871,1.29585,0.000689778,0.000689778,0.000689778
20,293.032,0.9224,1.26664,1.39728,0.41747,0.83333,0.80611,0.57461,1.43023,3.05364,1.86673,0.000704214,0.000704214,0.000704214
21,308.073,0.76789,1.26078,1.15429,0.48145,0.83333,0.91167,0.58136,2.17789,2.86511,3.27025,0.000716386,0.000716386,0.000716386
22,322.469,0.84314,1.13698,1.27488,0.93643,0.5,0.91167,0.57844,1.96848,2.32079,2.74965,0.000726295,0.000726295,0.000726295
23,337.433,0.79785,1.17617,1.23906,0.55754,0.83333,0.895,0.67199,1.33383,2.16211,1.80785,0.00073394,0.00073394,0.00073394
24,352.007,0.78082,1.15293,1.17291,0.53147,0.83333,0.88389,0.66286,1.18364,2.14655,1.69943,0.000739322,0.000739322,0.000739322
25,366.415,0.87359,1.18734,1.45166,0.55927,0.83333,0.88389,0.53696,1.94037,2.98511,2.51456,0.00074244,0.00074244,0.00074244
26,381.221,0.69749,0.97243,1.16792,0.80676,0.5,0.71012,0.44056,1.82461,2.98779,2.31579,0.000721645,0.000721645,0.000721645
27,396.086,0.97145,1.09817,1.25095,0.75855,0.5,0.87595,0.63595,1.09079,2.58294,1.52523,0.000693351,0.000693351,0.000693351
28,410.148,0.71041,1.09718,1.17714,0.70756,0.83333,0.93944,0.64134,1.18927,2.20121,1.55573,0.000665057,0.000665057,0.000665057
29,424.88,0.75123,1.14348,1.1773,0.53714,1,0.88444,0.59282,1.5993,2.03186,2.26573,0.000636762,0.000636762,0.000636762
30,438.938,0.71032,0.9497,1.15579,0.60277,0.94199,0.88444,0.48891,2.34635,2.42271,3.58193,0.000608468,0.000608468,0.000608468
31,453.097,0.80586,1.10813,1.17983,0.61772,0.98113,0.88444,0.50429,2.0527,2.59745,2.96265,0.000580174,0.000580174,0.000580174
32,467.711,0.76379,1.01235,1.16285,0.73261,0.83333,0.91167,0.60507,1.58745,2.50396,2.16232,0.00055188,0.00055188,0.00055188
33,483.138,0.64372,0.90818,1.14438,0.76978,0.83333,0.93944,0.72643,1.29961,1.85941,1.86636,0.000523586,0.000523586,0.000523586
34,497.755,0.85644,1.1156,1.31543,0.84961,0.83333,0.93944,0.75133,1.12609,1.61075,1.54949,0.000495291,0.000495291,0.000495291
